Date,Visitor,Home,Visitor Q1,Visitor Q2,Visitor Q3,Visitor Q4,Visitor Total,Home Q1,Home Q2,Home Q3,Home Q4,Home Total,Visitor Pace,Visitor eFG%,Visitor TOV%,Visitor ORB%,Visitor FT/FGA,Visitor ORtg,Home Pace,Home eFG%,Home TOV%,Home ORB%,Home FT/FGA,Home ORtg
"Tue, Oct 24, 2023",Los Angeles Lakers,Denver Nuggets,20,34,26,27,107,34,29,24,32,119,96.3,0.511,10.8,28.3,0.167,111.1,96.3,0.604,11.1,22.5,0.099,123.6
"Tue, Oct 24, 2023",Phoenix Suns,Golden State Warriors,28,33,19,28,108,28,18,40,18,104,101.7,0.5,15.6,35.4,0.137,106.2,101.7,0.406,8.8,29.5,0.218,102.3
"Tue, Oct 24, 2023",Los Angeles Lakers,Denver Nuggets,20,34,26,27,107,34,29,24,32,119,96.3,0.511,10.8,28.3,0.167,111.1,96.3,0.604,11.1,22.5,0.099,123.6
"Tue, Oct 24, 2023",Phoenix Suns,Golden State Warriors,28,33,19,28,108,28,18,40,18,104,101.7,0.5,15.6,35.4,0.137,106.2,101.7,0.406,8.8,29.5,0.218,102.3
"Wed, Oct 25, 2023",Houston Rockets,Orlando Magic,20,23,26,17,86,29,25,33,29,116,95.2,0.481,18.1,14.9,0.127,90.4,95.2,0.534,14,41.5,0.264,121.9
"Wed, Oct 25, 2023",Boston Celtics,New York Knicks,30,21,31,26,108,18,28,27,31,104,95.4,0.558,12.8,18.9,0.286,113.2,95.4,0.464,9.2,30.4,0.144,109
"Wed, Oct 25, 2023",Washington Wizards,Indiana Pacers,39,29,28,24,120,34,39,37,33,143,110.6,0.505,11.4,21.2,0.24,108.5,110.6,0.617,9.7,22.7,0.103,129.3
"Wed, Oct 25, 2023",Atlanta Hawks,Charlotte Hornets,29,23,21,37,110,25,26,27,38,116,103.4,0.446,10,23.5,0.29,106.4,103.4,0.564,16.3,28.6,0.221,112.2
"Wed, Oct 25, 2023",Detroit Pistons,Miami Heat,29,18,28,27,102,26,32,25,20,103,94.2,0.505,14.7,34.7,0.098,108.3,94.2,0.446,6.3,29.1,0.228,109.4
"Wed, Oct 25, 2023",Minnesota Timberwolves,Toronto Raptors,25,26,23,20,94,25,28,20,24,97,102,0.38,11.3,29.1,0.18,92.1,102,0.478,12.6,14.8,0.122,95.1
"Wed, Oct 25, 2023",Cleveland Cavaliers,Brooklyn Nets,37,26,27,24,114,32,31,24,26,113,98,0.559,9.2,19.6,0.096,116.3,98,0.554,15.9,31,0.238,115.3
"Wed, Oct 25, 2023",New Orleans Pelicans,Memphis Grizzlies,25,32,25,29,111,28,19,23,34,104,102.1,0.553,18.2,27.5,0.2,108.7,102.1,0.484,11.5,16.3,0.176,101.8
"Wed, Oct 25, 2023",Oklahoma City Thunder,Chicago Bulls,33,28,30,33,124,35,20,27,22,104,99.3,0.665,15.1,14.7,0.183,124.9,99.3,0.479,11.3,25.5,0.149,104.7
"Wed, Oct 25, 2023",Sacramento Kings,Utah Jazz,32,40,33,25,130,24,34,29,27,114,102.1,0.554,9.8,28.3,0.167,127.4,102.1,0.5,11.8,34.8,0.253,111.7
"Wed, Oct 25, 2023",Dallas Mavericks,San Antonio Spurs,36,28,32,30,126,43,25,23,28,119,106.4,0.551,9.9,26.5,0.172,118.4,106.4,0.579,16.1,20.5,0.18,111.8
"Wed, Oct 25, 2023",Portland Trail Blazers,Los Angeles Clippers,20,27,26,38,111,29,38,32,24,123,99.3,0.527,15.2,32.6,0.14,111.8,99.3,0.611,15.6,35.9,0.144,123.9
"Thu, Oct 26, 2023",Philadelphia 76ers,Milwaukee Bucks,23,31,31,32,117,30,33,25,30,118,101.7,0.613,14,10.3,0.238,115.1,101.7,0.574,12.6,18.6,0.309,116.1
"Thu, Oct 26, 2023",Phoenix Suns,Los Angeles Lakers,30,22,32,11,95,18,30,24,28,100,102.8,0.475,20.8,22.7,0.222,92.4,102.8,0.458,14.2,17,0.274,97.3
"Fri, Oct 27, 2023",Denver Nuggets,Memphis Grizzlies,25,36,28,19,108,18,38,23,25,104,104.1,0.545,16.5,14.6,0.136,103.7,104.1,0.494,18,27.7,0.235,99.9
"Fri, Oct 27, 2023",Detroit Pistons,Charlotte Hornets,32,22,29,28,111,21,26,28,24,99,107.2,0.511,19.5,28.6,0.239,103.5,107.2,0.415,14.9,21.2,0.295,92.3
"Fri, Oct 27, 2023",New York Knicks,Atlanta Hawks,35,34,31,26,126,31,30,31,28,120,103.5,0.589,13.5,25.5,0.222,121.7,103.5,0.552,12.3,21.4,0.276,115.9
