Date,Start (ET),Visitor,Visitor Points,Home,Home Points,Arena,Box Score Link
"Tue, Oct 24, 2023",7:30p,Los Angeles Lakers,107,Denver Nuggets,119,Ball Arena,/boxscores/202310240DEN.html
"Tue, Oct 24, 2023",10:00p,Phoenix Suns,108,Golden State Warriors,104,Chase Center,/boxscores/202310240GSW.html
"Wed, Oct 25, 2023",7:00p,Houston Rockets,86,Orlando Magic,116,Kia Center,/boxscores/202310250ORL.html
"Wed, Oct 25, 2023",7:00p,Boston Celtics,108,New York Knicks,104,Madison Square Garden (IV),/boxscores/202310250NYK.html
"Wed, Oct 25, 2023",7:00p,Washington Wizards,120,Indiana Pacers,143,Gainbridge Fieldhouse,/boxscores/202310250IND.html
"Wed, Oct 25, 2023",7:00p,Atlanta Hawks,110,Charlotte Hornets,116,Spectrum Center,/boxscores/202310250CHO.html
"Wed, Oct 25, 2023",7:30p,Detroit Pistons,102,Miami Heat,103,Kaseya Center,/boxscores/202310250MIA.html
"Wed, Oct 25, 2023",7:30p,Minnesota Timberwolves,94,Toronto Raptors,97,Scotiabank Arena,/boxscores/202310250TOR.html
"Wed, Oct 25, 2023",7:30p,Cleveland Cavaliers,114,Brooklyn Nets,113,Barclays Center,/boxscores/202310250BRK.html
"Wed, Oct 25, 2023",8:00p,New Orleans Pelicans,111,Memphis Grizzlies,104,FedEx Forum,/boxscores/202310250MEM.html
"Wed, Oct 25, 2023",8:00p,Oklahoma City Thunder,124,Chicago Bulls,104,United Center,/boxscores/202310250CHI.html
"Wed, Oct 25, 2023",9:00p,Sacramento Kings,130,Utah Jazz,114,Delta Center,/boxscores/202310250UTA.html
"Wed, Oct 25, 2023",9:30p,Dallas Mavericks,126,San Antonio Spurs,119,United Center,/boxscores/202310250SAS.html
"Wed, Oct 25, 2023",10:30p,Portland Trail Blazers,111,Los Angeles Clippers,123,Delta Center,/boxscores/202310250LAC.html
"Thu, Oct 26, 2023",7:30p,Philadelphia 76ers,117,Milwaukee Bucks,118,Fiserv Forum,/boxscores/202310260MIL.html
"Thu, Oct 26, 2023",10:00p,Phoenix Suns,95,Los Angeles Lakers,100,Crypto.com Arena,/boxscores/202310260LAL.html
"Fri, Oct 27, 2023",7:00p,Denver Nuggets,108,Memphis Grizzlies,104,FedEx Forum,/boxscores/202310270MEM.html
"Fri, Oct 27, 2023",7:00p,Detroit Pistons,111,Charlotte Hornets,99,Spectrum Center,/boxscores/202310270CHO.html
"Fri, Oct 27, 2023",7:30p,New York Knicks,126,Atlanta Hawks,120,State Farm Arena,/boxscores/202310270ATL.html
"Fri, Oct 27, 2023",7:30p,Oklahoma City Thunder,108,Cleveland Cavaliers,105,Rocket Mortgage Fieldhouse,/boxscores/202310270CLE.html
"Fri, Oct 27, 2023",7:30p,Miami Heat,111,Boston Celtics,119,TD Garden,/boxscores/202310270BOS.html
"Fri, Oct 27, 2023",8:00p,Toronto Raptors,103,Chicago Bulls,104,United Center,/boxscores/202310270CHI.html
"Fri, Oct 27, 2023",8:00p,Houston Rockets,122,San Antonio Spurs,126,Frost Bank Center,/boxscores/202310270SAS.html
"Fri, Oct 27, 2023",8:30p,Brooklyn Nets,120,Dallas Mavericks,125,American Airlines Center,/boxscores/202310270DAL.html
"Fri, Oct 27, 2023",9:30p,Los Angeles Clippers,118,Utah Jazz,120,Delta Center,/boxscores/202310270UTA.html
"Fri, Oct 27, 2023",10:00p,Orlando Magic,102,Portland Trail Blazers,97,Moda Center,/boxscores/202310270POR.html
"Fri, Oct 27, 2023",10:00p,Golden State Warriors,122,Sacramento Kings,114,Golden 1 Center,/boxscores/202310270SAC.html
"Sat, Oct 28, 2023",7:00p,Chicago Bulls,102,Detroit Pistons,118,Little Caesars Arena,/boxscores/202310280DET.html
"Sat, Oct 28, 2023",7:00p,Memphis Grizzlies,106,Washington Wizards,113,Capital One Arena,/boxscores/202310280WAS.html
"Sat, Oct 28, 2023",7:00p,New York Knicks,87,New Orleans Pelicans,96,Smoothie King Center,/boxscores/202310280NOP.html
"Sat, Oct 28, 2023",7:30p,Indiana Pacers,125,Cleveland Cavaliers,113,Rocket Mortgage Fieldhouse,/boxscores/202310280CLE.html
"Sat, Oct 28, 2023",7:30p,Philadelphia 76ers,114,Toronto Raptors,107,Scotiabank Arena,/boxscores/202310280TOR.html
"Sat, Oct 28, 2023",8:00p,Miami Heat,90,Minnesota Timberwolves,106,Target Center,/boxscores/202310280MIN.html
"Sat, Oct 28, 2023",10:00p,Utah Jazz,104,Phoenix Suns,126,Footprint Center,/boxscores/202310280PHO.html
"Sun, Oct 29, 2023",3:30p,Denver Nuggets,128,Oklahoma City Thunder,95,Paycom Center,/boxscores/202310290OKC.html
"Sun, Oct 29, 2023",7:00p,Golden State Warriors,106,Houston Rockets,95,Toyota Center,/boxscores/202310290HOU.html
"Sun, Oct 29, 2023",7:00p,Atlanta Hawks,127,Milwaukee Bucks,110,Fiserv Forum,/boxscores/202310290MIL.html
"Sun, Oct 29, 2023",7:30p,Portland Trail Blazers,98,Philadelphia 76ers,126,Wells Fargo Center,/boxscores/202310290PHI.html
"Sun, Oct 29, 2023",9:00p,San Antonio Spurs,83,Los Angeles Clippers,123,Crypto.com Arena,/boxscores/202310290LAC.html
"Sun, Oct 29, 2023",9:00p,Los Angeles Lakers,127,Sacramento Kings,132,Golden 1 Center,/boxscores/202310290SAC.html
"Mon, Oct 30, 2023",7:00p,Chicago Bulls,112,Indiana Pacers,105,Gainbridge Fieldhouse,/boxscores/202310300IND.html
"Mon, Oct 30, 2023",7:00p,Boston Celtics,126,Washington Wizards,107,Capital One Arena,/boxscores/202310300WAS.html
"Mon, Oct 30, 2023",7:00p,Brooklyn Nets,133,Charlotte Hornets,121,Spectrum Center,/boxscores/202310300CHO.html
"Mon, Oct 30, 2023",7:30p,Portland Trail Blazers,99,Toronto Raptors,91,Scotiabank Arena,/boxscores/202310300TOR.html
"Mon, Oct 30, 2023",7:30p,Minnesota Timberwolves,113,Atlanta Hawks,127,State Farm Arena,/boxscores/202310300ATL.html
"Mon, Oct 30, 2023",8:00p,Dallas Mavericks,125,Memphis Grizzlies,110,FedEx Forum,/boxscores/202310300MEM.html
"Mon, Oct 30, 2023",8:00p,Miami Heat,114,Milwaukee Bucks,122,Fiserv Forum,/boxscores/202310300MIL.html
"Mon, Oct 30, 2023",8:00p,Golden State Warriors,130,New Orleans Pelicans,102,Smoothie King Center,/boxscores/202310300NOP.html
"Mon, Oct 30, 2023",8:00p,Detroit Pistons,112,Oklahoma City Thunder,124,Paycom Center,/boxscores/202310300OKC.html
"Mon, Oct 30, 2023",9:00p,Utah Jazz,102,Denver Nuggets,110,Ball Arena,/boxscores/202310300DEN.html
"Mon, Oct 30, 2023",10:30p,Orlando Magic,103,Los Angeles Lakers,106,Crypto.com Arena,/boxscores/202310300LAL.html
"Tue, Oct 31, 2023",7:30p,New York Knicks,109,Cleveland Cavaliers,91,Rocket Mortgage Fieldhouse,/boxscores/202310310CLE.html
"Tue, Oct 31, 2023",10:00p,San Antonio Spurs,115,Phoenix Suns,114,Footprint Center,/boxscores/202310310PHO.html
"Tue, Oct 31, 2023",10:30p,Orlando Magic,102,Los Angeles Clippers,118,Crypto.com Arena,/boxscores/202310310LAC.html
"Wed, Nov 1, 2023",7:00p,Portland Trail Blazers,110,Detroit Pistons,101,Little Caesars Arena,/boxscores/202311010DET.html
"Wed, Nov 1, 2023",7:00p,Milwaukee Bucks,111,Toronto Raptors,130,Scotiabank Arena,/boxscores/202311010TOR.html
"Wed, Nov 1, 2023",7:30p,Washington Wizards,121,Atlanta Hawks,130,State Farm Arena,/boxscores/202311010ATL.html
"Wed, Nov 1, 2023",7:30p,Indiana Pacers,104,Boston Celtics,155,TD Garden,/boxscores/202311010BOS.html
"Wed, Nov 1, 2023",7:30p,Brooklyn Nets,109,Miami Heat,105,Kaseya Center,/boxscores/202311010MIA.html
"Wed, Nov 1, 2023",7:30p,Cleveland Cavaliers,95,New York Knicks,89,Madison Square Garden (IV),/boxscores/202311010NYK.html
"Wed, Nov 1, 2023",7:30p,New Orleans Pelicans,110,Oklahoma City Thunder,106,Paycom Center,/boxscores/202311010OKC.html
"Wed, Nov 1, 2023",8:00p,Charlotte Hornets,119,Houston Rockets,128,Toyota Center,/boxscores/202311010HOU.html
"Wed, Nov 1, 2023",8:00p,Denver Nuggets,89,Minnesota Timberwolves,110,Target Center,/boxscores/202311010MIN.html
"Wed, Nov 1, 2023",8:30p,Chicago Bulls,105,Dallas Mavericks,114,American Airlines Center,/boxscores/202311010DAL.html
"Wed, Nov 1, 2023",9:00p,Memphis Grizzlies,109,Utah Jazz,133,Delta Center,/boxscores/202311010UTA.html
"Wed, Nov 1, 2023",10:00p,Sacramento Kings,101,Golden State Warriors,102,Chase Center,/boxscores/202311010GSW.html
"Wed, Nov 1, 2023",10:00p,Los Angeles Clippers,125,Los Angeles Lakers,130,Crypto.com Arena,/boxscores/202311010LAL.html
"Thu, Nov 2, 2023",7:00p,Toronto Raptors,99,Philadelphia 76ers,114,Wells Fargo Center,/boxscores/202311020PHI.html
"Thu, Nov 2, 2023",8:00p,Detroit Pistons,116,New Orleans Pelicans,125,Smoothie King Center,/boxscores/202311020NOP.html
"Thu, Nov 2, 2023",9:00p,Orlando Magic,115,Utah Jazz,113,Delta Center,/boxscores/202311020UTA.html
"Thu, Nov 2, 2023",10:00p,San Antonio Spurs,132,Phoenix Suns,121,Footprint Center,/boxscores/202311020PHO.html
"Fri, Nov 3, 2023",7:00p,Cleveland Cavaliers,116,Indiana Pacers,121,Gainbridge Fieldhouse,/boxscores/202311030IND.html
"Fri, Nov 3, 2023",7:30p,New York Knicks,105,Milwaukee Bucks,110,Fiserv Forum,/boxscores/202311030MIL.html
"Fri, Nov 3, 2023",8:00p,Brooklyn Nets,109,Chicago Bulls,107,United Center,/boxscores/202311030CHI.html
"Fri, Nov 3, 2023",8:00p,Washington Wizards,114,Miami Heat,121,Kaseya Center,/boxscores/202311030MIA.html
"Fri, Nov 3, 2023",8:00p,Golden State Warriors,141,Oklahoma City Thunder,139,Paycom Center,/boxscores/202311030OKC.html
"Fri, Nov 3, 2023",10:00p,Dallas Mavericks,114,Denver Nuggets,125,Ball Arena,/boxscores/202311030DEN.html
"Fri, Nov 3, 2023",10:00p,Memphis Grizzlies,113,Portland Trail Blazers,115,Moda Center,/boxscores/202311030POR.html
"Sat, Nov 4, 2023",1:00p,Phoenix Suns,100,Philadelphia 76ers,112,Wells Fargo Center,/boxscores/202311040PHI.html
"Sat, Nov 4, 2023",7:00p,Charlotte Hornets,125,Indiana Pacers,124,Gainbridge Fieldhouse,/boxscores/202311040IND.html
"Sat, Nov 4, 2023",7:00p,Atlanta Hawks,123,New Orleans Pelicans,105,Smoothie King Center,/boxscores/202311040NOP.html
"Sat, Nov 4, 2023",7:00p,Los Angeles Lakers,101,Orlando Magic,120,Kia Center,/boxscores/202311040ORL.html
"Sat, Nov 4, 2023",8:00p,Boston Celtics,124,Brooklyn Nets,114,Barclays Center,/boxscores/202311040BRK.html
"Sat, Nov 4, 2023",8:00p,Sacramento Kings,89,Houston Rockets,107,Toyota Center,/boxscores/202311040HOU.html
"Sat, Nov 4, 2023",8:00p,Utah Jazz,95,Minnesota Timberwolves,123,Target Center,/boxscores/202311040MIN.html
"Sat, Nov 4, 2023",9:00p,Chicago Bulls,101,Denver Nuggets,123,Ball Arena,/boxscores/202311040DEN.html
"Sun, Nov 5, 2023",3:00p,Phoenix Suns,120,Detroit Pistons,106,Little Caesars Arena,/boxscores/202311050DET.html
"Sun, Nov 5, 2023",3:30p,Toronto Raptors,123,San Antonio Spurs,116,Frost Bank Center,/boxscores/202311050SAS.html
"Sun, Nov 5, 2023",6:00p,Golden State Warriors,104,Cleveland Cavaliers,115,Rocket Mortgage Fieldhouse,/boxscores/202311050CLE.html
"Sun, Nov 5, 2023",7:30p,Charlotte Hornets,118,Dallas Mavericks,124,American Airlines Center,/boxscores/202311050DAL.html
"Sun, Nov 5, 2023",9:00p,Memphis Grizzlies,112,Portland Trail Blazers,100,Moda Center,/boxscores/202311050POR.html
"Mon, Nov 6, 2023",7:00p,Golden State Warriors,120,Detroit Pistons,109,Little Caesars Arena,/boxscores/202311060DET.html
"Mon, Nov 6, 2023",7:00p,San Antonio Spurs,111,Indiana Pacers,152,Gainbridge Fieldhouse,/boxscores/202311060IND.html
"Mon, Nov 6, 2023",7:00p,Dallas Mavericks,117,Orlando Magic,102,Kia Center,/boxscores/202311060ORL.html
"Mon, Nov 6, 2023",7:00p,Washington Wizards,128,Philadelphia 76ers,146,Wells Fargo Center,/boxscores/202311060PHI.html
"Mon, Nov 6, 2023",7:30p,Milwaukee Bucks,129,Brooklyn Nets,125,Barclays Center,/boxscores/202311060BRK.html
"Mon, Nov 6, 2023",7:30p,Los Angeles Lakers,107,Miami Heat,108,Kaseya Center,/boxscores/202311060MIA.html
"Mon, Nov 6, 2023",7:30p,Los Angeles Clippers,97,New York Knicks,111,Madison Square Garden (IV),/boxscores/202311060NYK.html
"Mon, Nov 6, 2023",8:00p,Utah Jazz,113,Chicago Bulls,130,United Center,/boxscores/202311060CHI.html
"Mon, Nov 6, 2023",8:00p,Sacramento Kings,97,Houston Rockets,122,Toyota Center,/boxscores/202311060HOU.html
"Mon, Nov 6, 2023",8:00p,Boston Celtics,109,Minnesota Timberwolves,114,Target Center,/boxscores/202311060MIN.html
"Mon, Nov 6, 2023",8:00p,Atlanta Hawks,117,Oklahoma City Thunder,126,Paycom Center,/boxscores/202311060OKC.html
"Mon, Nov 6, 2023",9:00p,New Orleans Pelicans,116,Denver Nuggets,134,Ball Arena,/boxscores/202311060DEN.html
"Wed, Nov 8, 2023",7:00p,Washington Wizards,132,Charlotte Hornets,116,Spectrum Center,/boxscores/202311080CHO.html
"Wed, Nov 8, 2023",7:00p,Utah Jazz,118,Indiana Pacers,134,Gainbridge Fieldhouse,/boxscores/202311080IND.html
"Wed, Nov 8, 2023",7:00p,Boston Celtics,103,Philadelphia 76ers,106,Wells Fargo Center,/boxscores/202311080PHI.html
"Wed, Nov 8, 2023",7:30p,Los Angeles Clippers,93,Brooklyn Nets,100,Barclays Center,/boxscores/202311080BRK.html
"Wed, Nov 8, 2023",7:30p,San Antonio Spurs,105,New York Knicks,126,Madison Square Garden (IV),/boxscores/202311080NYK.html
"Wed, Nov 8, 2023",8:00p,Phoenix Suns,116,Chicago Bulls,115,United Center,/boxscores/202311080CHI.html
"Wed, Nov 8, 2023",8:00p,Los Angeles Lakers,94,Houston Rockets,128,Toyota Center,/boxscores/202311080HOU.html
"Wed, Nov 8, 2023",8:00p,Miami Heat,108,Memphis Grizzlies,102,FedEx Forum,/boxscores/202311080MEM.html
"Wed, Nov 8, 2023",8:00p,Detroit Pistons,118,Milwaukee Bucks,120,Fiserv Forum,/boxscores/202311080MIL.html
