,Date,Start (ET),Visitor,Visitor Points,Home,Home Points,Arena,Box Score Link,Arena_Corrected,Teams,Game_Latitude,Game_Longitude,Prev_Game_Lat,Prev_Game_Long,Prev_Date,Travel_Distance,Back_to_Back,Team,Winner,Opponent_WinPct
0,2023-10-24,7:30p,Los Angeles Lakers,107,Denver Nuggets,119,Ball Arena,/boxscores/202310240DEN.html,Ball Arena,Nuggets,39.74888699,-105.007631,,,,,False,Los Angeles Lakers,Denver Nuggets,
1520,2023-10-24,7:30p,Los Angeles Lakers,107,Denver Nuggets,119,Ball Arena,/boxscores/202310240DEN.html,Ball Arena,Nuggets,39.74888699,-105.007631,,,,,False,Denver Nuggets,Denver Nuggets,0.0
1791,2023-10-24,10:00p,Phoenix Suns,108,Golden State Warriors,104,Chase Center,/boxscores/202310240GSW.html,Chase Center,Warriors,37.76824305,-122.3879952,,,,,False,Golden State Warriors,Phoenix Suns,
89,2023-10-24,10:00p,Phoenix Suns,108,Golden State Warriors,104,Chase Center,/boxscores/202310240GSW.html,Chase Center,Warriors,37.76824305,-122.3879952,,,,,False,Phoenix Suns,Phoenix Suns,0.0
969,2023-10-25,9:30p,Dallas Mavericks,126,San Antonio Spurs,119,United Center,/boxscores/202310250SAS.html,United Center,Bulls,41.88085455,-87.674251,,,,,False,Dallas Mavericks,Dallas Mavericks,
456,2023-10-25,7:00p,Atlanta Hawks,110,Charlotte Hornets,116,Spectrum Center,/boxscores/202310250CHO.html,Spectrum Center,Hornets,35.22545375,-80.83938972,,,,,False,Atlanta Hawks,Charlotte Hornets,
703,2023-10-25,7:30p,Cleveland Cavaliers,114,Brooklyn Nets,113,Barclays Center,/boxscores/202310250BRK.html,Barclays Center,Nets,40.68282142,-73.97543706,,,,,False,Cleveland Cavaliers,Cleveland Cavaliers,
1702,2023-10-25,7:00p,Houston Rockets,86,Orlando Magic,116,Kia Center,/boxscores/202310250ORL.html,Kia Center,Magic,28.53944289,-81.38376767,,,,,False,Orlando Magic,Orlando Magic,
355,2023-10-25,7:00p,Boston Celtics,108,New York Knicks,104,Madison Square Garden (IV),/boxscores/202310250NYK.html,Madison Square Garden,Knicks,40.75074427,-73.99350307,,,,,False,Boston Celtics,Boston Celtics,
1874,2023-10-25,7:30p,Cleveland Cavaliers,114,Brooklyn Nets,113,Barclays Center,/boxscores/202310250BRK.html,Barclays Center,Nets,40.68282142,-73.97543706,,,,,False,Brooklyn Nets,Cleveland Cavaliers,1.0
2556,2023-10-25,7:00p,Atlanta Hawks,110,Charlotte Hornets,116,Spectrum Center,/boxscores/202310250CHO.html,Spectrum Center,Hornets,35.22545375,-80.83938972,,,,,False,Charlotte Hornets,Charlotte Hornets,0.0
621,2023-10-25,7:00p,Washington Wizards,120,Indiana Pacers,143,Gainbridge Fieldhouse,/boxscores/202310250IND.html,Gainbridge Fieldhouse,Pacers,39.76434114,-86.15563165,,,,,False,Washington Wizards,Indiana Pacers,
